,,,,,,,,,,,,
,,,,,,,,,,,,
Video ID,Published Date,Channel ID,Video Title,Description,Thumbnail URL,Channel Title,View Count,Like Count,View/Like Ratio,Normalized Ratio,,
inpok4MKVLM,2019-09-04T15:00:07Z,UCEMArgthHuEtX-04qL_8puQ,5-Minute Meditation You Can Do Anywhere,In just 5 minutes you can reset your day in a positive way. Special thanks to John Davisi for lending us his incredibly soothing ...,https://i.ytimg.com/vi/inpok4MKVLM/default.jpg,Goodful,15857943,361600,0.022802453,8.408723737,,
1ZYbU82GVz4,2016-07-03T17:09:48Z,UCjzHeG1KWoonmf9d5KBvSiw,"Relaxing Sleep Music • Deep Sleeping Music, Relaxing Music, Stress Relief, Meditation Music (Flying)",Relaxing sleep music for deep sleeping and stress relief. Fall asleep to beautiful nature videos and use the relaxing music ...,https://i.ytimg.com/vi/1ZYbU82GVz4/default.jpg,Soothing Relaxation,352077382,2282462,0.006482841888,0.9023884367,,0.004520948664
ZToicYcHIOU,2016-10-12T22:32:12Z,UChSpME3QaSFAWK8Hpmg-Dyw,Daily Calm | 10 Minute Mindfulness Meditation | Be Present,Tamara Levitt guides this 10 minute Daily Calm mindfulness meditation to powerfully restore and re-connect with the present.,https://i.ytimg.com/vi/ZToicYcHIOU/default.jpg,Calm,14539053,184924,0.01271912277,3.770815567,,0.2219321149
O-6f5wQXSu8,2020-04-01T15:00:15Z,UCEMArgthHuEtX-04qL_8puQ,10-Minute Meditation For Anxiety,Take a moment and let this guided meditation relieve your anxiety. Written and Narrated by John Davisi. John is a mindfulness life ...,https://i.ytimg.com/vi/O-6f5wQXSu8/default.jpg,Goodful,10175409,210768,0.02071346714,7.447878028,,
d4S4twjeWTs,2017-03-26T08:00:08Z,UCFKE7WVJfvaHW5q283SxchA,Meditation For Inner Peace - Yoga With Adriene,"Dive into meditation this Spring, go inward to focus on what feels good in mind and body. Want to have a good body? Tend to the ...",https://i.ytimg.com/vi/d4S4twjeWTs/default.jpg,Yoga With Adriene,5131775,86995,0.01695222413,5.717864305,,
86m4RC_ADEY,2020-08-12T13:00:02Z,UC-ga3onzHSJFAGsIebtVeBg,"Guided Meditation for Positive Energy, Relaxation, Peace 🌤",Download the audio for this guided meditation → http://lavendaire.com/meditation-audio Enjoy this 20 minute guided meditation ...,https://i.ytimg.com/vi/86m4RC_ADEY/default.jpg,Lavendaire,3214201,75032,0.02334390413,8.657768501,,
syx3a1_LeFo,2016-09-10T00:08:04Z,UChSpME3QaSFAWK8Hpmg-Dyw,Daily Calm | 10 Minute Mindfulness Meditation | Letting Go,Tamara Levitt guides this 10 minute Daily Calm mindfulness meditation on letting go. The Daily Calm is a unique mix of meditation ...,https://i.ytimg.com/vi/syx3a1_LeFo/default.jpg,Calm,4888757,61175,0.01251340576,3.67619439,,
U9YKY7fdwyg,2020-08-15T15:00:08Z,UCEMArgthHuEtX-04qL_8puQ,10-Minute Meditation For Beginners,"Written and Narrated by John Davisi. John is a mindfulness life coach, teacher, and speaker. Check out all of his mindfulness and ...",https://i.ytimg.com/vi/U9YKY7fdwyg/default.jpg,Goodful,2362245,61783,0.0261543574,9.950458899,,
4EaMJOo1jks,2018-01-09T11:11:39Z,UCX159cvbQYBvMFvpdsbIDdA,"LET GO of Anxiety, Fear &amp; Worries: A GUIDED MEDITATION ➤ Harmony, Inner Peace &amp; Emotional Healing","A guided meditation: LET GO of anxiety, fear and worries, and open up to Harmony, Inner Peace and Healing. Does worrying ...",https://i.ytimg.com/vi/4EaMJOo1jks/default.jpg,PowerThoughts Meditation Club,9509280,125809,0.01323012888,4.005856908,,
z6X5oEIg6Ak,2020-09-24T15:00:15Z,UCEMArgthHuEtX-04qL_8puQ,10-Minute Meditation For Stress,"If you are feeling stressed or overwhelmed, listen to this guided meditation to re-center yourself. Written and Narrated by John ...",https://i.ytimg.com/vi/z6X5oEIg6Ak/default.jpg,Goodful,1446705,33182,0.0229362586,8.470268688,,
Xl_B45DpMLU,2018-10-30T08:33:06Z,UChSpME3QaSFAWK8Hpmg-Dyw,Daily Calm | 10 Minute Mindfulness Meditation | Self Soothing,Tamara Levitt guides this 10 minute Daily Calm mindfulness meditation as a self soothing practice. Download Calm: ...,https://i.ytimg.com/vi/Xl_B45DpMLU/default.jpg,Calm,2713428,31564,0.01163251798,3.27102303,,
M6dCovaOono,2020-05-28T01:00:02Z,UCN4vyryy6O4GlIXcXTIuZQQ,Positive Energy 10 minute Guided Meditation,"A 10 minute guided meditation that will have you feeling full of positive energy. Allow yourself to flow with your breath, inviting a ...",https://i.ytimg.com/vi/M6dCovaOono/default.jpg,Great Meditation,2449104,57816,0.02360700076,8.778781896,,
1vx8iUvfyCY,2015-07-15T02:00:50Z,UC9GoqHypa-SDrGPMyeBkjKw,Guided Meditation for Detachment From Over-Thinking (Anxiety / OCD / Depression),"This meditation encourages a calm awareness of the breath, and also a gentle detachment from the habits of rumination (ie.",https://i.ytimg.com/vi/1vx8iUvfyCY/default.jpg,Michael Sealey,23406349,186278,0.007958438969,1.581101083,,
Lju6h-C37hE,2018-12-28T12:09:59Z,UCM7XCXnxtYJkkMN0zf0tsSw,"&quot;Boost Your Aura&quot; Attract Positive Energy Meditation Music, 7 Chakra Balancing &amp; Healing","""Boost Your Aura"" Attract Positive Energy Meditation Music, 7 Chakra Balancing & Healing by Meditation and Healing. This is 3 ...",https://i.ytimg.com/vi/Lju6h-C37hE/default.jpg,Meditation and Healing,27504295,269508,0.009798760521,2.42757166,,
W8a3T8pI9Ns,2017-07-03T10:30:00Z,UCN4vyryy6O4GlIXcXTIuZQQ,15 Minute Guided Meditation ~ Relaxed Body Relaxed Mind,Relax your body and mind with this 15 min Guided Meditation.,https://i.ytimg.com/vi/W8a3T8pI9Ns/default.jpg,Great Meditation,2480279,27051,0.01090643432,2.937055057,,
sJH6_ZbgeWQ,2017-02-07T11:00:03Z,UCN4vyryy6O4GlIXcXTIuZQQ,A Powerful 10 Minute Guided Meditation,10 minute meditation guided and very powerful practice. Now Available for Download: ...,https://i.ytimg.com/vi/sJH6_ZbgeWQ/default.jpg,Great Meditation,3909051,39354,0.01006740511,2.55113688,,
wruCWicGBA4,2018-06-27T07:00:03Z,UCwobzUc3z-0PrFpoRxNszXQ,"15 Minute Meditation Music, Relaxing Music, Calming Music, Stress Relief Music, Study Music, ☯3293B","15 Minute Meditation Music, Relaxing Music, Calming Music, Stress Relief Music, Study Music, ☯3293B - ""Our relaxing music is ...",https://i.ytimg.com/vi/wruCWicGBA4/default.jpg,Yellow Brick Cinema - Relaxing Music,18663689,191414,0.01025595744,2.637863028,,
